stock_name,datetime,open,high,low,close,volume
AMZN,"2018-02-26 11:34:00",1520,1521,1520,1521,10687
AMZN,"2018-02-26 11:35:00",1521,1521,1520,1520,7013
AMZN,"2018-02-26 11:36:00",1520,1520,1520,1520,2400
AMZN,"2018-02-26 11:37:00",1520,1520,1519,1519,2580
AMZN,"2018-02-26 11:38:00",1520,1520,1519,1519,4052
AMZN,"2018-02-26 11:39:00",1519,1520,1519,1520,2959
AMZN,"2018-02-26 11:40:00",1520,1521,1520,1520,9995
AMZN,"2018-02-26 11:41:00",1520,1520,1520,1520,1600
AMZN,"2018-02-26 11:42:00",1520,1520,1519,1520,2800
AMZN,"2018-02-26 11:43:00",1520,1520,1520,1520,3805
AMZN,"2018-02-26 11:44:00",1520,1520,1520,1520,3660
AMZN,"2018-02-26 11:45:00",1520,1520,1519,1520,4980
AMZN,"2018-02-26 11:46:00",1520,1520,1520,1520,1400
AMZN,"2018-02-26 11:47:00",1520,1520,1520,1520,4403
AMZN,"2018-02-26 11:48:00",1520,1520,1520,1520,2022
AMZN,"2018-02-26 11:49:00",1521,1521,1520,1520,4547
AMZN,"2018-02-26 11:50:00",1520,1520,1519,1519,3238
AMZN,"2018-02-26 11:51:00",1519,1520,1519,1520,2317
AMZN,"2018-02-26 11:52:00",1520,1520,1519,1519,7703
AMZN,"2018-02-26 11:53:00",1519,1519,1518,1518,7584
AMZN,"2018-02-26 11:54:00",1518,1519,1518,1519,5905
AMZN,"2018-02-26 11:55:00",1518,1519,1518,1518,2782
AMZN,"2018-02-26 11:56:00",1518,1519,1518,1519,5298
AMZN,"2018-02-26 11:57:00",1519,1519,1519,1519,4269
AMZN,"2018-02-26 11:58:00",1519,1519,1518,1518,2820
AMZN,"2018-02-26 11:59:00",1518,1518,1518,1518,3027
AMZN,"2018-02-26 12:00:00",1518,1518,1517,1518,4800
AMZN,"2018-02-26 12:01:00",1518,1518,1518,1518,3700
AMZN,"2018-02-26 12:02:00",1518,1519,1518,1519,4504
AMZN,"2018-02-26 12:03:00",1518,1519,1518,1518,3245
AMZN,"2018-02-26 12:04:00",1519,1519,1518,1519,2908
AMZN,"2018-02-26 12:05:00",1519,1519,1518,1518,2400
AMZN,"2018-02-26 12:06:00",1518,1518,1518,1518,5048
AMZN,"2018-02-26 12:07:00",1518,1518,1518,1518,1800
AMZN,"2018-02-26 12:08:00",1518,1519,1518,1518,5100
AMZN,"2018-02-26 12:09:00",1518,1519,1518,1518,7391
AMZN,"2018-02-26 12:10:00",1518,1518,1517,1518,10077
AMZN,"2018-02-26 12:11:00",1518,1518,1517,1517,4478
AMZN,"2018-02-26 12:12:00",1518,1518,1517,1517,5785
AMZN,"2018-02-26 12:13:00",1517,1518,1516,1516,8760
AMZN,"2018-02-26 12:14:00",1516,1517,1516,1517,6561
AMZN,"2018-02-26 12:15:00",1517,1517,1516,1516,4533
AMZN,"2018-02-26 12:16:00",1516,1516,1516,1516,10584
AMZN,"2018-02-26 12:17:00",1516,1516,1516,1516,3286
AMZN,"2018-02-26 12:18:00",1516,1517,1516,1517,2422
AMZN,"2018-02-26 12:19:00",1517,1517,1516,1517,6694
AMZN,"2018-02-26 12:20:00",1517,1517,1517,1517,7124
AMZN,"2018-02-26 12:21:00",1517,1518,1517,1518,9682
AMZN,"2018-02-26 12:22:00",1518,1519,1517,1517,5524
AMZN,"2018-02-26 12:23:00",1518,1518,1517,1518,1900
AMZN,"2018-02-26 12:24:00",1518,1518,1517,1518,3103
AMZN,"2018-02-26 12:25:00",1518,1518,1518,1518,1467
