stock_name,datetime,open,high,low,close,volume
GOOG,"2018-02-26 11:28:00",1132.87,1133.215,1132.77,1133.21,803
GOOG,"2018-02-26 11:29:00",1133.66,1133.9,1133.3459,1133.37,500
GOOG,"2018-02-26 11:30:00",1133.604,1134.22,1133.6,1134.22,1392
GOOG,"2018-02-26 11:31:00",1133.84,1134.445,1133.84,1134.3,900
GOOG,"2018-02-26 11:32:00",1133.947,1134.89,1133.947,1134.89,510
GOOG,"2018-02-26 11:33:00",1134.8,1134.93,1134.35,1134.35,1429
GOOG,"2018-02-26 11:34:00",1134.2573,1135.15,1134.135,1134.49,1137
GOOG,"2018-02-26 11:35:00",1134.42,1134.42,1134.42,1134.42,100
GOOG,"2018-02-26 11:36:00",1134.88,1135,1134.37,1134.47,1056
GOOG,"2018-02-26 11:37:00",1134.5006,1134.5006,1134.14,1134.3,1175
GOOG,"2018-02-26 11:38:00",1133.89,1133.89,1133.26,1133.61,1100
GOOG,"2018-02-26 11:40:00",1134.34,1135.085,1134.34,1134.76,954
GOOG,"2018-02-26 11:41:00",1134.206,1134.9114,1133.89,1133.89,502
GOOG,"2018-02-26 11:42:00",1134.4287,1134.4287,1134.35,1134.38,500
GOOG,"2018-02-26 11:43:00",1134.04,1134.06,1133.9,1133.9,400
GOOG,"2018-02-26 11:44:00",1134.2092,1134.2092,1133.8,1133.8,579
GOOG,"2018-02-26 11:45:00",1134.28,1134.28,1133.61,1133.92,700
GOOG,"2018-02-26 11:46:00",1133.798,1133.798,1133.798,1133.798,172
GOOG,"2018-02-26 11:47:00",1134.16,1134.22,1133.155,1133.89,1600
GOOG,"2018-02-26 11:48:00",1133.25,1133.42,1133,1133.075,1400
GOOG,"2018-02-26 11:49:00",1132.81,1132.81,1132.12,1132.125,1410
GOOG,"2018-02-26 11:50:00",1132.15,1132.15,1131.875,1131.875,800
GOOG,"2018-02-26 11:51:00",1131.77,1132.9499,1131.77,1132.13,2481
GOOG,"2018-02-26 11:52:00",1132,1132.33,1131.7,1131.7,2865
GOOG,"2018-02-26 11:53:00",1131.85,1131.85,1131.45,1131.55,800
GOOG,"2018-02-26 11:54:00",1131.89,1132.21,1131.51,1132.08,1097
GOOG,"2018-02-26 11:55:00",1132.56,1132.59,1132.01,1132.01,700
GOOG,"2018-02-26 11:56:00",1131.95,1132.25,1131.77,1132.25,300
GOOG,"2018-02-26 11:57:00",1132.1,1132.1,1131.37,1131.72,3889
GOOG,"2018-02-26 11:58:00",1131.9774,1131.9774,1131.38,1131.47,1400
GOOG,"2018-02-26 11:59:00",1131.5,1131.89,1131.37,1131.49,900
GOOG,"2018-02-26 12:00:00",1131.49,1131.49,1130.81,1130.96,1458
GOOG,"2018-02-26 12:01:00",1131.34,1131.38,1131.12,1131.22,400
GOOG,"2018-02-26 12:02:00",1131.25,1131.41,1131.1,1131.1041,772
GOOG,"2018-02-26 12:03:00",1131.49,1131.49,1131.11,1131.11,300
GOOG,"2018-02-26 12:04:00",1131.63,1132.57,1131.63,1132.565,700
GOOG,"2018-02-26 12:05:00",1132.4743,1132.4743,1132.4743,1132.4743,100
GOOG,"2018-02-26 12:06:00",1132.34,1132.95,1131.71,1131.71,1300
GOOG,"2018-02-26 12:07:00",1132.03,1132.46,1131.7,1132.46,900
GOOG,"2018-02-26 12:08:00",1132.02,1132.59,1131.75,1132.26,1684
GOOG,"2018-02-26 12:09:00",1131.9025,1131.9372,1131.37,1131.37,2433
GOOG,"2018-02-26 12:10:00",1131.71,1131.9,1131.7,1131.7,500
GOOG,"2018-02-26 12:11:00",1131.6333,1132.3024,1131.56,1132.3024,1118
GOOG,"2018-02-26 12:12:00",1131.9,1131.91,1131.6,1131.91,400
GOOG,"2018-02-26 12:13:00",1132.08,1132.29,1131.51,1131.51,1000
GOOG,"2018-02-26 12:14:00",1131.5,1131.5,1131.13,1131.13,200
GOOG,"2018-02-26 12:15:00",1131.07,1131.205,1130.69,1130.69,850
GOOG,"2018-02-26 12:16:00",1131.18,1131.18,1130.65,1130.66,1600
GOOG,"2018-02-26 12:17:00",1130.665,1130.91,1130.05,1130.05,6400
GOOG,"2018-02-26 12:18:00",1130.5,1130.66,1130.34,1130.66,2100
GOOG,"2018-02-26 12:19:00",1130.705,1130.98,1130.58,1130.58,500
