stock_name,datetime,open,high,low,close,volume
NDAQ,"2018-02-26 09:44:00",81,81,81,81,1250
NDAQ,"2018-02-26 09:45:00",81,81,81,81,1300
NDAQ,"2018-02-26 09:46:00",81,81,81,81,200
NDAQ,"2018-02-26 09:47:00",81,81,81,81,1700
NDAQ,"2018-02-26 09:48:00",81,81,81,81,2712
NDAQ,"2018-02-26 09:49:00",81,81,81,81,6203
NDAQ,"2018-02-26 09:50:00",81,81,81,81,1571
NDAQ,"2018-02-26 09:51:00",81,81,81,81,3400
NDAQ,"2018-02-26 09:52:00",81,81,81,81,2300
NDAQ,"2018-02-26 09:53:00",81,81,81,81,2587
NDAQ,"2018-02-26 09:54:00",81,81,81,81,1100
NDAQ,"2018-02-26 09:55:00",81,81,81,81,1545
NDAQ,"2018-02-26 09:56:00",81,81,81,81,5247
NDAQ,"2018-02-26 09:57:00",81,81,81,81,1200
NDAQ,"2018-02-26 09:58:00",81,81,81,81,3000
NDAQ,"2018-02-26 09:59:00",81,81,81,81,29170
NDAQ,"2018-02-26 10:00:00",81,81,81,81,2800
NDAQ,"2018-02-26 10:01:00",81,81,81,81,2063
NDAQ,"2018-02-26 10:02:00",81,81,81,81,1600
NDAQ,"2018-02-26 10:03:00",81,81,81,81,2426
NDAQ,"2018-02-26 10:04:00",81,81,81,81,400
NDAQ,"2018-02-26 10:05:00",81,81,81,81,7400
NDAQ,"2018-02-26 10:06:00",81,81,81,81,4426
NDAQ,"2018-02-26 10:07:00",81,81,81,81,2021
NDAQ,"2018-02-26 10:08:00",81,81,81,81,500
NDAQ,"2018-02-26 10:09:00",81,81,81,81,2900
NDAQ,"2018-02-26 10:10:00",81,81,81,81,1500
NDAQ,"2018-02-26 10:11:00",81,81,81,81,4161
NDAQ,"2018-02-26 10:12:00",81,81,81,81,1860
NDAQ,"2018-02-26 10:13:00",81,81,81,81,600
NDAQ,"2018-02-26 10:14:00",81,81,81,81,3095
NDAQ,"2018-02-26 10:15:00",81,81,81,81,2200
NDAQ,"2018-02-26 10:16:00",81,81,81,81,1792
NDAQ,"2018-02-26 10:17:00",81,81,81,81,3125
NDAQ,"2018-02-26 10:18:00",81,81,81,81,1107
NDAQ,"2018-02-26 10:19:00",81,81,81,81,1645
NDAQ,"2018-02-26 10:21:00",81,81,81,81,900
NDAQ,"2018-02-26 10:22:00",81,81,81,81,5255
NDAQ,"2018-02-26 10:24:00",81,81,81,81,300
NDAQ,"2018-02-26 10:25:00",81,81,81,81,800
NDAQ,"2018-02-26 10:26:00",81,81,81,81,4455
NDAQ,"2018-02-26 10:27:00",81,81,81,81,3500
NDAQ,"2018-02-26 10:28:00",81,81,81,81,1289
NDAQ,"2018-02-26 10:29:00",81,81,81,81,502
NDAQ,"2018-02-26 10:30:00",81,81,81,81,200
NDAQ,"2018-02-26 10:31:00",81,81,81,81,200
NDAQ,"2018-02-26 10:32:00",81,81,81,81,3179
NDAQ,"2018-02-26 10:33:00",81,81,81,81,1104
NDAQ,"2018-02-26 10:34:00",81,81,81,81,600
NDAQ,"2018-02-26 10:36:00",81,81,81,81,1300
NDAQ,"2018-02-26 10:37:00",81,81,81,81,1088
NDAQ,"2018-02-26 10:38:00",81,81,81,81,1100
NDAQ,"2018-02-26 10:40:00",81,81,81,81,600
NDAQ,"2018-02-26 10:41:00",81,81,81,81,2599
NDAQ,"2018-02-26 10:42:00",81,81,81,81,1924
NDAQ,"2018-02-26 10:43:00",81,81,81,81,2237
NDAQ,"2018-02-26 10:44:00",81,81,81,81,3400
NDAQ,"2018-02-26 10:45:00",81,81,81,81,1100
NDAQ,"2018-02-26 10:46:00",81,81,81,81,1388
NDAQ,"2018-02-26 10:47:00",81,81,81,81,1200
NDAQ,"2018-02-26 10:48:00",81,81,81,81,700
